F_Id,F_ParentId,F_Layers,F_EnCode,F_FullName,F_SimpleSpelling,F_SortCode,F_DeleteMark,F_EnabledMark,F_Description,F_CreateTime,F_CreatorUserId,F_LastModifyTime,F_LastModifyUserId,F_DeleteTime,F_DeleteUserId
120100,120000,2,120100,天津市,tjs,120100,,TRUE,,2016/7/20 0:00,,,,,
130100,130000,2,130100,石家庄市,sjzs,130100,,TRUE,,2016/7/20 0:00,,,,,
130200,130000,2,130200,唐山市,tss,130200,,TRUE,,2016/7/20 0:00,,,,,
130300,130000,2,130300,秦皇岛市,qhds,130300,,TRUE,,2016/7/20 0:00,,,,,
130400,130000,2,130400,邯郸市,hds,130400,,TRUE,,2016/7/20 0:00,,,,,
130500,130000,2,130500,邢台市,xts,130500,,TRUE,,2016/7/20 0:00,,,,,
130600,130000,2,130600,保定市,bds,130600,,TRUE,,2016/7/20 0:00,,,,,
130700,130000,2,130700,张家口市,zjks,130700,,TRUE,,2016/7/20 0:00,,,,,
130800,130000,2,130800,承德市,cds,130800,,TRUE,,2016/7/20 0:00,,,,,
130900,130000,2,130900,沧州市,czs,130900,,TRUE,,2016/7/20 0:00,,,,,
131000,130000,2,131000,廊坊市,lfs,131000,,TRUE,,2016/7/20 0:00,,,,,
131100,130000,2,131100,衡水市,hss,131100,,TRUE,,2016/7/20 0:00,,,,,
140100,140000,2,140100,太原市,tys,140100,,TRUE,,2016/7/20 0:00,,,,,
140200,140000,2,140200,大同市,dts,140200,,TRUE,,2016/7/20 0:00,,,,,
140300,140000,2,140300,阳泉市,yqs,140300,,TRUE,,2016/7/20 0:00,,,,,
140400,140000,2,140400,长治市,czs,140400,,TRUE,,2016/7/20 0:00,,,,,
140500,140000,2,140500,晋城市,jcs,140500,,TRUE,,2016/7/20 0:00,,,,,
140600,140000,2,140600,朔州市,szs,140600,,TRUE,,2016/7/20 0:00,,,,,
140700,140000,2,140700,晋中市,jzs,140700,,TRUE,,2016/7/20 0:00,,,,,
140800,140000,2,140800,运城市,ycs,140800,,TRUE,,2016/7/20 0:00,,,,,
140900,140000,2,140900,忻州市,xzs,140900,,TRUE,,2016/7/20 0:00,,,,,
141000,140000,2,141000,临汾市,lfs,141000,,TRUE,,2016/7/20 0:00,,,,,
141100,140000,2,141100,吕梁市,lls,141100,,TRUE,,2016/7/20 0:00,,,,,
