F_Id,F_ItemId,F_ParentId,F_ItemCode,F_ItemName,F_SimpleSpelling,F_IsDefault,F_Layers,F_SortCode,F_DeleteMark,F_EnabledMark,F_Description,F_CreatorTime,F_CreatorUserId,F_LastModifyTime,F_LastModifyUserId,F_DeleteTime,F_DeleteUserId
B97BD7F5-B212-40C1-A1F7-DD9A2E63EEF2,9EB4602B-BF9A-4710-9D80-C73CE89BEC5D,,Group,集团,,FALSE,,1,FALSE,TRUE,,,,,,,
2C3715AC-16F7-48FC-AB40-B0931DB1E729,9EB4602B-BF9A-4710-9D80-C73CE89BEC5D,,Area,区域,,FALSE,,2,FALSE,TRUE,,,,,,,
D082BDB9-5C34-49BF-BD51-4E85D7BFF646,9EB4602B-BF9A-4710-9D80-C73CE89BEC5D,,Company,公司,,FALSE,,3,FALSE,TRUE,,,,,,,
2B540AC5-6E64-4688-BB60-E0C01DFA982C,9EB4602B-BF9A-4710-9D80-C73CE89BEC5D,,SubCompany,子公司,,FALSE,,4,FALSE,TRUE,,,,,,,
A64EBB80-6A24-48AF-A10E-B6A532C32CA6,9EB4602B-BF9A-4710-9D80-C73CE89BEC5D,,Department,部门,,FALSE,,5,FALSE,TRUE,,,,,,,
D1F439B9-D80E-4547-9EF0-163391854AB5,9EB4602B-BF9A-4710-9D80-C73CE89BEC5D,,SubDepartment,子部门,,FALSE,,6,FALSE,TRUE,,,,,,,
19EE595A-E775-409D-A48F-B33CF9F262C7,9EB4602B-BF9A-4710-9D80-C73CE89BEC5D,,WorkGroup,小组,,FALSE,,7,FALSE,TRUE,,,,,,,
e5079bae-a8c0-4209-9019-6a2b4a3a7dac,D94E4DC1-C2FD-4D19-9D5D-3886D39900CE,,1,系统角色,,FALSE,,1,FALSE,TRUE,,,,,,,
04aba88d-f09b-46c6-bd90-a38471399b0e,D94E4DC1-C2FD-4D19-9D5D-3886D39900CE,,2,业务角色,,FALSE,,2,FALSE,TRUE,,,,,,,
cc6daa5c-a71c-4b2c-9a98-336bc3ee13c8,D94E4DC1-C2FD-4D19-9D5D-3886D39900CE,,3,其他角色,,FALSE,,3,FALSE,TRUE,,,,,,,
7a6d1bc4-3ec7-4c57-be9b-b4c97d60d5f6,954AB9A1-9928-4C6D-820A-FC1CDC85CDE0,,1,草稿,,FALSE,,1,FALSE,TRUE,,,,,,,
ce340c73-5048-4940-b86e-e3b3d53fdb2c,954AB9A1-9928-4C6D-820A-FC1CDC85CDE0,,2,提交,,FALSE,,2,FALSE,TRUE,,,,,,,
41053517-215d-4e11-81cd-367c0e9578d7,954AB9A1-9928-4C6D-820A-FC1CDC85CDE0,,3,通过,,FALSE,,3,FALSE,TRUE,,,,,,,
e1979a4f-7fc1-42b9-a0e2-52d7059e8fb9,954AB9A1-9928-4C6D-820A-FC1CDC85CDE0,,4,待审,,FALSE,,4,FALSE,TRUE,,,,,,,
63acf96d-6115-4d76-a994-438f59419aad,954AB9A1-9928-4C6D-820A-FC1CDC85CDE0,,5,退回,,FALSE,,5,FALSE,TRUE,,,,,,,
8b7b38bf-07c5-4f71-a853-41c5add4a94e,954AB9A1-9928-4C6D-820A-FC1CDC85CDE0,,6,完成,,FALSE,,6,FALSE,TRUE,,,,,,,
49b68663-ad01-4c43-b084-f98e3e23fee8,954AB9A1-9928-4C6D-820A-FC1CDC85CDE0,,7,废弃,,FALSE,,7,FALSE,TRUE,,,,,,,
fa6c1873-888c-4b70-a2cc-59fccbb22078,0DF5B725-5FB8-487F-B0E4-BC563A77EB04,,SqlServer,SqlServer,,FALSE,,1,FALSE,TRUE,,,,,,,
27e85cb8-04e7-447b-911d-dd1e97dfab83,0DF5B725-5FB8-487F-B0E4-BC563A77EB04,,Oracle,Oracle,,FALSE,,2,FALSE,TRUE,,,,,,,
34a642b2-44d4-485f-b3fc-6cce24f68b0f,0DF5B725-5FB8-487F-B0E4-BC563A77EB04,,MySql,MySql,,FALSE,,3,FALSE,TRUE,,,,,,,
1950efdf-8685-4341-8d2c-ac85ac7addd0,00F76465-DBBA-484A-B75C-E81DEE9313E6,,1,小学,,FALSE,,1,FALSE,TRUE,,,,,,,
433511a9-78bd-41a0-ab25-e4d4b3423055,00F76465-DBBA-484A-B75C-E81DEE9313E6,,2,初中,,FALSE,,2,FALSE,TRUE,,,,,,,
acb128a6-ff63-4e25-b1e8-0a336ed3ab18,00F76465-DBBA-484A-B75C-E81DEE9313E6,,3,高中,,FALSE,,3,FALSE,TRUE,,,,,,,
a4974810-d88d-4d54-82cc-fd779875478f,00F76465-DBBA-484A-B75C-E81DEE9313E6,,4,中专,,FALSE,,4,FALSE,TRUE,,,,,,,
486a82e3-1950-425e-b2ce-b5d98f33016a,00F76465-DBBA-484A-B75C-E81DEE9313E6,,5,大专,,FALSE,,5,FALSE,TRUE,,,,,,,
34222d46-e0c6-446e-8150-dbefc47a1d5f,00F76465-DBBA-484A-B75C-E81DEE9313E6,,6,本科,,FALSE,,6,FALSE,TRUE,,,,,,,
3f280e2b-92f6-466c-8cc3-d7c8ff48cc8d,00F76465-DBBA-484A-B75C-E81DEE9313E6,,7,硕士,,FALSE,,7,FALSE,TRUE,,,,,,,
930b8de2-049f-4753-b9fd-87f484911ee4,00F76465-DBBA-484A-B75C-E81DEE9313E6,,8,博士,,FALSE,,8,FALSE,TRUE,,,,,,,
355ad7a4-c4f8-4bd3-9c72-ff07983da0f0,00F76465-DBBA-484A-B75C-E81DEE9313E6,,9,其他,,FALSE,,9,FALSE,TRUE,,,,,,,
5d6def0e-e2a7-48eb-b43c-cc3631f60dd7,BDD797C3-2323-4868-9A63-C8CC3437AEAA,,1,男,,FALSE,,1,FALSE,TRUE,,,,,,,
822baf7c-abdb-4257-9b78-1f550806f544,BDD797C3-2323-4868-9A63-C8CC3437AEAA,,0,女,,FALSE,,2,FALSE,TRUE,,,,,,,
738edf2a-d59f-4992-97ef-d847db23bcb8,FA7537E2-1C64-4431-84BF-66158DD63269,,1,已婚,,FALSE,,1,FALSE,TRUE,,,,,,,
a7c4aba2-a891-4558-9b0a-bd7a1100a645,FA7537E2-1C64-4431-84BF-66158DD63269,,2,未婚,,FALSE,,2,FALSE,TRUE,,,,,,,
f9609400-7caf-49af-ae3c-7671a9292fb3,FA7537E2-1C64-4431-84BF-66158DD63269,,3,离异,,FALSE,,3,FALSE,TRUE,,,,,,,
a6f271f9-8653-4c5c-86cf-4cd00324b3c3,FA7537E2-1C64-4431-84BF-66158DD63269,,4,丧偶,,FALSE,,4,FALSE,TRUE,,,,,,,
7c1135be-0148-43eb-ae49-62a1e16ebbe3,FA7537E2-1C64-4431-84BF-66158DD63269,,5,其他,,FALSE,,5,FALSE,TRUE,,,,,,,
582e0b66-2ee9-4885-9f0c-3ce3ebf96e12,8CEB2F71-026C-4FA6-9A61-378127AE7320,,1,已育,,FALSE,,1,FALSE,TRUE,,,,,,,
de2167f3-40fe-4bf7-b8cb-5b1c554bad7a,8CEB2F71-026C-4FA6-9A61-378127AE7320,,2,未育,,FALSE,,2,FALSE,TRUE,,,,,,,
9b6a2225-6138-4cf2-9845-1bbecdf9b3ed,8CEB2F71-026C-4FA6-9A61-378127AE7320,,3,其他,,FALSE,,3,FALSE,TRUE,,,,,,,
49300258-1227-4b85-b6a2-e948dbbe57a4,15023A4E-4856-44EB-BE71-36A106E2AA59,,汉族,汉族,,FALSE,,1,FALSE,TRUE,,,,,,,
d69cb819-2bb3-4e1d-9917-33b9a439233d,2748F35F-4EE2-417C-A907-3453146AAF67,,1,身份证,,FALSE,,1,FALSE,TRUE,,,,,,,
4c2f2428-2e00-4336-b9ce-5a61f24193f6,2748F35F-4EE2-417C-A907-3453146AAF67,,2,士兵证,,FALSE,,2,FALSE,TRUE,,,,,,,
48c4e0f5-f570-4601-8946-6078762db3bf,2748F35F-4EE2-417C-A907-3453146AAF67,,3,军官证,,FALSE,,3,FALSE,TRUE,,,,,,,
0096ad81-4317-486e-9144-a6a02999ff19,2748F35F-4EE2-417C-A907-3453146AAF67,,4,护照,,FALSE,,4,FALSE,TRUE,,,,,,,
ace2d5e8-56d4-4c8b-8409-34bc272df404,2748F35F-4EE2-417C-A907-3453146AAF67,,5,其它,,FALSE,,5,FALSE,TRUE,,,,,,,
795f2695-497a-4f5e-ab1d-706095c1edb9,9a7079bd-0660-4549-9c2d-db5e8616619f,,Other,其他,,FALSE,,0,FALSE,TRUE,,2016/7/19 17:10,,2016/7/19 18:20,,,
643209c8-931b-4641-9e04-b8bdd11800af,9a7079bd-0660-4549-9c2d-db5e8616619f,,Login,登录,,FALSE,,1,FALSE,TRUE,,2016/7/19 17:10,,2016/7/19 18:20,,,
3c884a03-4f34-4150-b134-966387f1de2a,9a7079bd-0660-4549-9c2d-db5e8616619f,,Exit,退出,,FALSE,,2,FALSE,TRUE,,2016/7/19 17:10,,2016/7/19 18:20,,,
ccc8e274-75da-4eb8-bed0-69008ab7c41c,9a7079bd-0660-4549-9c2d-db5e8616619f,,Visit,访问,,FALSE,,3,FALSE,TRUE,,2016/7/19 17:10,,2016/7/19 18:20,,,
e545061c-93fd-4ca2-ab29-b43db9db798b,9a7079bd-0660-4549-9c2d-db5e8616619f,,Create,新增,,FALSE,,4,FALSE,TRUE,,2016/7/19 17:11,,2016/7/19 18:20,,,
a13ccf0d-ac8f-44ac-a522-4a54edf1f0fa,9a7079bd-0660-4549-9c2d-db5e8616619f,,Delete,删除,,FALSE,,5,FALSE,TRUE,,2016/7/19 17:11,,2016/7/19 18:20,,,
392f88a8-02c2-49eb-8aed-b2acf474272a,9a7079bd-0660-4549-9c2d-db5e8616619f,,Update,修改,,FALSE,,6,FALSE,TRUE,,2016/7/19 17:11,,2016/7/19 18:20,,,
24e39617-f04e-4f6f-9209-ad71e870e7c6,9a7079bd-0660-4549-9c2d-db5e8616619f,,Submit,提交,,FALSE,,7,FALSE,TRUE,,2016/7/19 17:11,,2016/7/19 18:20,,,
7fc8fa11-4acf-409a-a771-aaf1eb81e814,9a7079bd-0660-4549-9c2d-db5e8616619f,,Exception,异常,,FALSE,,8,FALSE,TRUE,,2016/7/19 17:11,,2016/7/19 18:21,,,
