F_Id,F_ParentId,F_Layers,F_EnCode,F_FullName,F_Icon,F_UrlAddress,F_Target,F_IsMenu,F_IsExpand,F_IsPublic,F_AllowEdit,F_AllowDelete,F_SortCode,F_DeleteMark,F_EnabledMark,F_Description,F_CreatorTime,F_CreatorUserId,F_LastModifyTime,F_LastModifyUserId,F_DeleteTime,F_DeleteUserId
e72c75d0-3a69-41ad-b220-13c9a62ec788,73FD1267-79BA-4E23-A152-744AF73117E9,2,,数据备份,,/SystemSecurity/DbBackup/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,,2016/7/17 22:05,,2016/7/20 16:15,,,
462027E0-0848-41DD-BCC3-025DCAE65555,0,1,,系统管理,fa fa-gears,,expand,FALSE,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,,,,2016/7/22 15:46,9f2ec079-7d0f-4fe2-90ab-8b09a8302aba,,
73FD1267-79BA-4E23-A152-744AF73117E9,0,1,,系统安全,fa fa-desktop,,expand,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,TRUE,,,,2016/7/22 15:46,9f2ec079-7d0f-4fe2-90ab-8b09a8302aba,,
51174D27-3001-4CCF-AAB2-0AA2A6CEAA50,0,1,,统计报表,fa fa-bar-chart-o,fa fa-bar-chart-o,expand,FALSE,TRUE,FALSE,FALSE,FALSE,4,FALSE,TRUE,,,,2016/7/22 15:47,9f2ec079-7d0f-4fe2-90ab-8b09a8302aba,,
9F56840F-DF92-4936-A48C-8F65A39291A2,0,1,,常用示例,fa fa-tags,,expand,FALSE,TRUE,FALSE,FALSE,FALSE,5,FALSE,TRUE,,,,2016/7/22 15:47,9f2ec079-7d0f-4fe2-90ab-8b09a8302aba,,
a3a4742d-ca39-42ec-b95a-8552a6fae579,73FD1267-79BA-4E23-A152-744AF73117E9,2,,访问控制,,/SystemSecurity/FilterIP/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,,2016/7/17 22:06,,2016/7/20 16:16,,,
64A1C550-2C61-4A8C-833D-ACD0C012260F,462027E0-0848-41DD-BCC3-025DCAE65555,2,,菜单管理,,/SystemManage/Menu/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,7,FALSE,TRUE,测试,,,2016/7/27 10:50,9f2ec079-7d0f-4fe2-90ab-8b09a8302aba,,
38CA5A66-C993-4410-AF95-50489B22939C,462027E0-0848-41DD-BCC3-025DCAE65555,2,,用户管理,,/SystemManage/User/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,4,FALSE,TRUE,,,,2016/7/14 16:22,,,
252229DB-35CA-47AE-BDAE-C9903ED5BA7B,462027E0-0848-41DD-BCC3-025DCAE65555,2,,机构管理,,/SystemManage/Organize/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,,,,2016/7/15 22:21,,,
91A6CFAD-B2F9-4294-BDAE-76DECF412C6C,462027E0-0848-41DD-BCC3-025DCAE65555,2,,角色管理,,/SystemManage/Role/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,,,,2016/7/14 16:22,,,
337A4661-99A5-4E5E-B028-861CACAF9917,462027E0-0848-41DD-BCC3-025DCAE65555,2,,区域管理,,/SystemManage/Area/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,,,,2016/7/14 16:21,,,
423A200B-FA5F-4B29-B7B7-A3F5474B725F,462027E0-0848-41DD-BCC3-025DCAE65555,2,,数据字典,,/SystemManage/ItemsData/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,6,FALSE,TRUE,,,,2016/7/15 22:26,,,
F298F868-B689-4982-8C8B-9268CBF0308D,462027E0-0848-41DD-BCC3-025DCAE65555,2,,岗位管理,,/SystemManage/Duty/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,TRUE,,,,2016/7/14 16:22,,,
96EE855E-8CD2-47FC-A51D-127C131C9FB9,73FD1267-79BA-4E23-A152-744AF73117E9,2,,系统日志,,/SystemSecurity/Log/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,TRUE,,,,2016/7/20 16:16,,,
df9920e0-ba33-4e36-a911-ef08c6ea77ea,51174D27-3001-4CCF-AAB2-0AA2A6CEAA50,2,,饼图,,/ReportManage/Highcharts/Sample7,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,12,FALSE,TRUE,,2016/7/20 17:13,,2016/7/22 15:45,9f2ec079-7d0f-4fe2-90ab-8b09a8302aba,,
3A95BBC6-CB5B-4438-869F-5F7B738E2568,,2,,散点图,,,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,999,FALSE,TRUE,,,,,,,
49F61713-C1E4-420E-BEEC-0B4DBC2D7DE8,73FD1267-79BA-4E23-A152-744AF73117E9,2,,服务器监控,,/SystemSecurity/ServerMonitoring/Index,iframe,TRUE,FALSE,FALSE,FALSE,FALSE,4,FALSE,TRUE,,,,2016/7/20 16:16,,,
